Index,Clue,Solution,Predicted_Type,Annotation_Type,Notes,gemini_predicted
389,"Singer, major part of Ronettes’ comeback (5)",tenor,placeholder,Hidden Word,Hidden in reverse of RONETtes,hidden word
390,Young lady with not a single way to catch horse (5),lasso,placeholder,Assemblage,"LASS + O (zero, not a single)",assemblage
391,Equine owned by Jomo Kenyatta (4),moke,placeholder,Hidden Word,Hidden in joMO KEnyatta,hidden word
392,"Ten pirates slaughtered early Pope (5,5)",saint peter,placeholder,Anagram,(TEN PIRATES)*,anagram
393,"Like Swift, awfully racialist (9)",satirical,placeholder,Anagram,"RACIALIST*, with Swift being the satirical writer of Gulliver’s Travels etc",anagram
394,"I, for one, pursued by religious institution, say (9)",pronounce,placeholder,Assemblage,PRONOUN (of which “I” is an example) + CE (Church of England),assemblage
395,Guardian is sugar-free (5),argus,placeholder,Anagram,SUGAR*,anagram
396,Biscuit switcheroo (4),oreo,placeholder,Anagram,Another lift-and-separate to give an anagram (“switch”) of EROO,anagram
397,Understood our son’s bedding smells (6),odours,placeholder,Hidden Word,A hidden answer (‘bedding’) in ‘understoOD OUR Son’.,hidden word
398,"House band feature in saloon (4,4)",seat belt,placeholder,Assemblage,A charade of SEAT (‘house’ – particularly a mansion) plus BELT (‘band’).,assemblage
399,"Resort to cornmeal unfortunately (5,5)",monte carlo,placeholder,Anagram,An angram (‘unfortunately’) of ‘to cornmeal’.,anagram
400,Cambridge university worried boring papers will be copied (8),imitated,placeholder,Container,"An envelope (‘boring’) of MIT (‘Cambridge university’ – Cambridge Massachusetts, that is) plus ATE (‘worried’) in ID (‘papers’).",container
401,Appropriate clubs potentially qualified (8),suitable,placeholder,Assemblage,A charade of SUIT (‘clubs potentially’) plus ABLE (‘qualified’).,assemblage
402,"Boxer, turn into cook (4)",fury,placeholder,Container,U (turn) in FRY (cook),container
403,Diagrams describe Number 10’s vehicles (8),chariots,placeholder,Container,CHARTS (diagrams) round IO (number 10),container
404,British heavyweight losing no time with friend in a cruel manner (8),brutally,placeholder,Assemblage,BRU[no] (British heavyweight) minus no + T (time) + ALLY (friend),assemblage
405,Joint fishing expedition or something else inside? (5),hinge,placeholder,Hidden Word,Contained in fisHING Expedition,hidden word
406,Reconsider skating here round the resort (7),rethink,placeholder,Container,RINK (skating here) round an anagram (resort) of THE,container
407,Broadcaster unhappy with colour of Manchester club (3-4),sky-blue,placeholder,Assemblage,SKY (broadcaster) + BLUE (unhappy) – colour of Manchester City Football Club,assemblage
408,Minor setbacks; involuntary complaint (7),hiccups,placeholder,Double Definition,nan,double definition
409,"This writer’s quiet, a holy person revealed by old painting (7)",impasto,placeholder,Assemblage,"IM (I’m, I am, “This writer’s”) + P (piano, “quiet”) + A (from surface) + ST (saint, “holy person”) + O (old)",assemblage
410,US state in the role of wild animal (5),nyala,placeholder,Assemblage,"NY (New York, “US state”) + A LA (à la, from French, in the manner of, “in the role of”)",assemblage
411,"Supply a cup please for stewed fruit (5,5)",apple sauce,placeholder,Anagram,"anagram (“Supply”, suppl-y, as in ‘supple’) of (a cup please)*",anagram
412,Go away and make no noise with love over (4),shoo,placeholder,Assemblage,"SH (be quiet! / “make no noise”); plus O (zero, “love” in tennis) + O (an over, in cricket)",assemblage
413,"Discipline soldiers sunk in alcoholic drink (4,3)",sort out,placeholder,Container,"OR (other ranks, “soldiers”) in STOUT=”alcoholic drink”",container
414,Food theologian favoured being fed to dog (7),pudding,placeholder,Container,"DD (Doctor of Divinity, “theologian”) + IN (popular, “favoured”); all inside PUG=”dog”",container
415,Starter and pies wrong for entertainer who needs good figure? (11),stripteaser,placeholder,Anagram,anagram/”wrong” of (Starter pies)*,anagram
416,"Awful mod politics – crap group representing country (10,5)",diplomatic corps,placeholder,Anagram,anagram/”Awful” of (mod politics crap)*,anagram
417,"With drink around, sound is to increase dramatically (5,2)",shootup,placeholder,Container,HOOT=”sound” with SUP=”drink” around,container
418,"Stick around, then go (6)",cleave,placeholder,Assemblage,"C (circa, “around”) + LEAVE=”go”",double definition
419,Quickly observe little devils in endless merriment (7),glimpse,placeholder,Container,IMPS=”little devils”; in GLE-[e]=”endless merriment”,container
420,"Told a gentleman to conceal senior citizenship (3,3)",old age,placeholder,Hidden Word,hidden/concealed in [T]-OLD A GE-[ntleman],hidden word
421,Make short counterargument with pamphlet (8),contract,placeholder,Assemblage,CON (a counterargument) + TRACT (pamphlet),assemblage
422,"Part of ship that crosses river, often (6)",bridge,placeholder,Double Definition,"bridge of a ship, bridges cross rivers often",double definition
423,Cold primate in sleeveless cloak (4),cape,placeholder,Assemblage,C + APE,assemblage
424,"In some clues, I’m pleasantly straightforward (6)",simple,placeholder,Hidden Word,Hidden in clueS I’M PLEasantly,hidden word
425,Reluctantly agree about son’s intention (6),design,placeholder,Container,S[on] in DEIGN,container
426,Humble soldiers protecting area (4),mean,placeholder,Container,A[rea] in MEN,container
427,Something used by cooks in USA – pecan nuts (8),saucepan,placeholder,Anagram,(USA PECAN)*,anagram
428,Eye problem from middle of last year (4),stye,placeholder,Hidden Word,The middle letters of laST YEar,hidden word
429,Problem pupil stimulated in a communal meeting (8),absentee,placeholder,Container,SENT (stimulated) in A BEE (communal meeting),assemblage
430,Subject embracing monarch in global circle (6),tropic,placeholder,Container,"R (king or queen, monarch) in TOPIC",container
431,"What helps reproduce stock, say? Pet bull one redeployed (6,4)",pollen tube,placeholder,Anagram,"(PET BULL ONE)* – Stock is a plant, which a pollen tube would help to reproduce",anagram
432,"Supplier of drug mostly impounded, destroyed (5,3)",opium den,placeholder,Anagram,Anagram of IMPOUNDE[d],anagram
433,"Relinquish or keep subscribing? (4,4)",sign away,placeholder,Double Definition,relinquish; keep subscribing,double definition
434,Free traitor imprisoned by US troops (6),gratis,placeholder,Container,RAT (traitor) in GIS (US soldiers),container
435,New missile limited in scope (6),narrow,placeholder,Assemblage,N + ARROW,assemblage
436,"Deliberately damage bog at sea, recklessly (8)",sabotage,placeholder,Anagram,anagram (recklessly) of (BOG AT SEA)*,anagram
437,Drummer’s jingle bell ball (5),ringo,placeholder,Assemblage,charade of RING (jingle bell) + O (ball) to give this drummer,assemblage
438,Violent storm split academy party (7),tornado,placeholder,Assemblage,charade of TORN (split) + A (academy abbreviation) + DO (party),assemblage
439,Rebel chorister conceals burp (5),belch,placeholder,Hidden Word,hidden word(s) (conceals) in reBEL CHorister,hidden word
440,Doctor gets near police officer (8),sergeant,placeholder,Anagram,anagram (doctor) of (GETS NEAR)*,anagram
441,"Cowardly, shout ‘that hurts!’ (6)",yellow,placeholder,Assemblage,charade of YELL (shout) + OW (‘that hurts’),assemblage
442,Crazy tenor Cyril is songwriter (8),lyricist,placeholder,Anagram,anagram (crazy) of (T CYRIL IS)* where T is tenor (from SATB choir notation),anagram
443,"Time for a snack, perhaps bite of Kissabel Eve nicked (6)",eleven,placeholder,Hidden Word,hidden word(s) (bite of) kissabEL EVE Nicked,hidden word
444,Are snake-shape bananas something to do with the Bard? (13),shakespearean,placeholder,Anagram,anagram (bananas) of (ARE SNAKE-SHAPE)*,anagram
445,Spar all-electric ferries running alongside (8),parallel,placeholder,Hidden Word,hidden word(s) (ferries) in sPAR ALL ELectric – as a hidden word indicator “ferries” is saying that the clue words carry the hidden word,assemblage
446,"Hot ear, left at last, small signs of love? (6)",hearts,placeholder,Assemblage,charade of H (hot – from taps) + EAR (from the clue) + T (lefT at last) + S (small – clothing sizes) to give H EAR T S,assemblage
447,Energy for every season (6),pepper,placeholder,Assemblage,charade of PEP (energy) + PER (for every),assemblage
448,Workers in southern Welsh river (5),staff,placeholder,Assemblage,charade of S (southern) + TAFF (Welsh river).,assemblage
449,Persuaded fish to eat chop (6),coaxed,placeholder,Container,insertion (to eat) – COD (fish) around (to eat) AXE (chop),container
450,Idle amateur gains zero (4),lazy,placeholder,Container,insertion (gains)- LAY (amateur) with Z (zero) inserted.,assemblage
451,Peer at dancing parrot (6),repeat,placeholder,Anagram,anagram of (PEER AT)* with an anagrind of “dancing” ,anagram
452,Veto Japanese over instrument (5),banjo,placeholder,Assemblage,charade of BAN (veto) + J (Japan – IVR plates) + O (over – from cricket).,assemblage
453,Contaminated organ produces gas (5),argon,placeholder,Anagram,anagram of (ORGAN)* with an anagrind of “contaminated” for one of the noble gases.,anagram
454,Blue jerk lives in the sea (7),aquatic,placeholder,Assemblage,charade of AQUA (blue) + TIC (jerk),assemblage
455,US claim works such as Les Mis (7),musical,placeholder,Anagram,anagram of (US CLAIM)* with an anagrind of “works” – where Les Mis is the usual abbreviation for Les Misérables.,anagram
456,A mall let loose animal (5),llama,placeholder,Anagram,anagram of (A MALL)* with an anagrind of “let loose”.,anagram
457,Observe Occupational Therapist in northeast (4),note,placeholder,Container,insertion (in) of OT (occupational therapist) in NE (northeast).,container
458,West side golf club (5),wedge,placeholder,Assemblage,charade of W (west) + EDGE (side) for this golf club.,assemblage
459,Important European in Kentucky (3),key,placeholder,Container,insertion (in) of E (European) into KY (Kentucky – standard state abbreviation). E for European turns up all the time in crosswords as do the US states and their abbreviations.,container
460,Enormous cast act in it (7),titanic,placeholder,Anagram,anagram of (ACT IN IT)* with an anagrind of “cast”.,double definition
461,British Rail incorporating a saloon? (3),bar,placeholder,Container,insertion (incorporating) of A (from the clue) into BR (British Rail).,container
462,"Hang around Ohio, opening an American volume (6)",loiter,placeholder,Container,O(hio) inside LITER (American spelling of litre).,container
463,Cold plain fish medic tucks into (6),tundra,placeholder,Container,DR (medic) inside TUNA.,container
464,Pet suppressing cry of disgust when grabbed (6),caught,placeholder,Container,UGH (cry of disgust) in CAT (pet).,container
465,"Be dazed by what you may do on a clear night out (3,5)",see stars,placeholder,Double Definition,be dazed; what you may do on a clear night out,double definition
466,Pitch that a rainstorm covers (3),tar,placeholder,Hidden Word,"hidden in ""that a rainstorm""",hidden word
467,"Cause trouble, as Adam and Eve did? (5,4)",raise cain,placeholder,Double Definition,cause trouble; as adam and eve did,double definition
468,"Stay away from far off fortress (4,2,1,8)",keep at a distance,placeholder,Double Definition,stay away from; far off fortress,assemblage
469,Support from unsettled settler (7),trestle,placeholder,Anagram,An anagram (unsettled) of SETTLER,anagram
470,Good supply of water for seed (5),grain,placeholder,Assemblage,G (good) + RAIN (supply of water),assemblage
471,Pretty drawing (10),attractive,placeholder,Double Definition,double definition: second definition as in drawing/attracting something closer,double definition
472,Foolishly rides to a distant rock (8),asteroid,placeholder,Anagram,anagram/”Foolishly” of (rides to a)*,anagram
473,The oratorio one long expected (7),messiah,placeholder,Double Definition,double definition: Handel’s Messiah is an oratorio; or an awaited saviour,double definition
474,Holiday by car (6),fiesta,placeholder,Double Definition,double definition: second definition refers to the Ford Fiesta car,double definition
475,"Mature women infiltrating party (4,2)",grow up,placeholder,Container,An insertion of W in GROUP. The insertion indicator is ‘infiltrating’.,container
476,America determinedly protecting army trainee (5),cadet,placeholder,Hidden Word,Hidden in AmeriCA DETerminedly.,assemblage
477,Second best shriek (6),scream,placeholder,Assemblage,A charade of S and CREAM.,assemblage
478,"Burst into tears if in emergency response centre (4,7)",fire station,placeholder,Anagram,(INTO TEARS IF)* with ‘burst’ as the anagrind.,assemblage
479,Understand what 6 ft is (6),fathom,placeholder,Double Definition,understand; what 6 ft is,double definition
480,Penalty is OK (4),fine,placeholder,Double Definition,penalty; ok,double definition
481,The river that moves vast quantities of goods (6),amazon,placeholder,Double Definition,"Double/cryptic definition, the second being the on-line market place.",double definition
482,Scrap part of an alphabet (4),iota,placeholder,Double Definition,"Double definition; in the second, the ‘alphabet’ is Greek.",double definition
483,Phone to America from prison (4),cell,placeholder,Double Definition,"Double definition, the first being the American usage answering to a mobile phone.",double definition
484,Pallid Offa defiantly holds revolutionary national emblem (8),daffodil,placeholder,Hidden Word,Hidden reversed in PaLID OFFA Defiantly. ‘Revolutionary’ tells you that it’s a reversal.,hidden word
485,Charge in transistor mechanism (5),storm,placeholder,Hidden Word,Hidden in transiSTOR Mechanism.,hidden word
486,Release standard expression of approval on the continent (6),parole,placeholder,Assemblage,"A charade of PAR and OLE, the Spanish word used to express appreciation.",assemblage
487,"A reed’s cultivated in area near Egypt (3,3)",red sea,placeholder,Anagram,(A REEDS)* with ‘cultivated’ as the anagrind.,anagram
488,"It’s part of playing American football, say (4)",game,placeholder,Hidden Word,Hidden in playinG AMErican.,double definition
489,She distrusts everyone working in metaphors! (11),misanthrope,placeholder,Anagram,(IN METAPHORS)* with ‘working’ as the anagrind.,anagram
490,Serenity derived from mathematical musings (4),calm,placeholder,Hidden Word,Hidden in mathematiCAL Musing.,hidden word
491,Particular deal? It is corrupt (6),detail,placeholder,Anagram,anagram of (DEAL IT)* with an anagrind of “corrupt”. Think the particulars of a contract.,anagram
492,Glean shifting point of view (5),angle,placeholder,Anagram,anagram of (GLEAN)* with an anagrind of “shifting”.,anagram
493,Tear often expressed in epitaph (3) ,rip,placeholder,Double Definition,"double definition, rip as in tear and rip as in rest in peace",double definition
494,Journalist’s unauthorised access (4) ,hack,placeholder,Double Definition,HACK (a mediocre journalist),double definition
495,Intelligent leader – kind inside (6),gentle,placeholder,Hidden Word,hidden inside [Intelli]-GENT LE-[ader],assemblage
496,"Lost opportunity in double withdrawal (4,2)",blew it,placeholder,Hidden Word,Hidden in douBLE WIThdrawal,assemblage
497,"Bicycle stand emptied, partly (6)",tandem,placeholder,Hidden Word,hidden word(s) (partly) in sTAND EMptied,hidden word
498,Low average (4),mean,placeholder,Double Definition,double definition so a word that means both “low” and “average”,double definition
499,Secretly pass piece of paper (4),slip,placeholder,Double Definition,double definition – they SLIP/secretly pass messages between themselves as they sit at the back of the classroom – sometimes on a SLIP/piece of paper.,double definition
500,House rules constrain employer (4),user,placeholder,Hidden Word,hidden word(s) (constrain) in hoUSE Rules – and another nice surface telling a little story.,hidden word
65,"Part of body of actors, or players (5)",torso,unknown,Hidden Word,"hidden in ""actors, or""",hidden word
66,Refreshment left for bird (4),teal,unknown,Assemblage,refreshment (tea) + left (l),assemblage
67,Proposed name I don't change (9),nominated,placeholder,Anagram,“change” indicates anagram of “name i don’t”,anagram
68,Tough guys breaking ribs? Sure! (8),bruisers,placeholder,Anagram,”breaking” indicates anagram of “ribs sure”,anagram
69,File in woodland getting lost (8),download,placeholder,Anagram,“getting lost” indicates anagram of “woodland”,anagram
70,Utopian novel italicised (10),idealistic,placeholder,Anagram,“novel” indicates anagram of “italicised”,anagram
71,"Agreed toe is deformed somewhat (2,1,6)",to a degree ,placeholder,Anagram,“deformed” indicates anagram of “agreed toe”,anagram
72,Sterile unit fenced off (10),uninfected,placeholder,Anagram,“off” indicates anagram of “unit fenced”,anagram
73,"Tricky problem, brewing artisan beer (5-6)",brain-teaser ,placeholder,Anagram,“brewing” indicates anagram of “artisan beer”,anagram
74,Promise to fix toilet pan (9),potential,placeholder,Anagram,“to fix” indicates anagram of “toilet pan”,anagram
75,Smear pan to cook cheese (8),parmesan,placeholder,Anagram,“to cook” indicates anagram of “smear pan”,anagram
76,Tie up an awkward flower (7),petunia,placeholder,Anagram, “awkward” indicates anagram of “tie up an”,anagram
77,Uncommon sense in a German city (5),essen,placeholder,Anagram,“uncommon” indicates anagram of “sense”,anagram
78,"Simple dish — not as snob ate in mess (5,2,5)",beans on toast,placeholder,Anagram,“in mess” indicates anagram of “not as snob ate”,anagram
79,Scrub fork clean for a bit of breakfast (9),cornflake,placeholder,Anagram,“scrub” indicates anagram of “fork clean”,anagram
80,"Loss of earnings shocking to Mexican (6,3)",income tax,placeholder,Anagram,“shocking” indicates anagram of “to mexican”,anagram
81,See blonde squirming: why is she red in the face? (9),nosebleed,placeholder,Anagram,“squirming” indicates anagram of “see blonde”,anagram
82,"Portrait of animal so original (4,4)",mona lisa,placeholder,Anagram,“original” indicates anagram of “animal so”,anagram
83,"Beatle's back in USSR, playing tricks (5)",ruses,placeholder,Anagram,RUSES - anagram of [beatl]E + USSR.,assemblage
84,Break out with Toad's means of locomotion (10),skateboard,placeholder,Anagram,SKATEBOARD - Anagram of BREAK + TOAD'S.,assemblage
85,Aspic possibly combined with pepper (8),capsicum,placeholder,Anagram,CAPSICUM - Anagram of ASPIC + CUM,anagram
86,Busts are terribly hard to grasp (8),abstruse,placeholder,Anagram,ABSTRUSE - Anagram of BUSTS ARE.,anagram
87,The aim's to change a lack of belief in god (7),atheism,placeholder,Anagram,ATHEISM - Anagram [change] THE AIM'S,anagram
88,Place to set free American skunk (7),polecat,placeholder,Anagram,POLECAT: (PLACE TO*) is “set free”.,anagram
89,Ridiculous in a suit in the country (7),tunisia,placeholder,Anagram,TUNISIA - (IN A SUIT)*,anagram
90,No tears about disloyalty (7),treason,placeholder,Anagram,TREASON – (NO TEARS)*,anagram
91,Find beer possibly as favour (8),befriend,placeholder,Anagram,BEFRIEND - straight anagram ('possibly') of FIND BEER = BEFRIEND.,anagram
92,"Doctor locates legible astronomical reference (9,5)",celestial globe,placeholder,Anagram," (LOCATES LEGIBLE*) [""doctor...""]",anagram
93," Smashed single forehand? I'm not upset (2,4,8)",no hard feelings,placeholder,Anagram,"(SINGLE FOREHAND*) [""smashed""]",anagram
94,"With pride, she loses in brawling (7)",lioness,placeholder,Anagram,Anagram of LOSES IN,assemblage
95,"Might it be that sister? Poor nun in trouble! (8,7)",relative pronoun,placeholder,Anagram,RELATIVE + anagram of POOR NUN.   The DBE is clearly indicated by the question mark.,assemblage
96,Shrub with red or white flowers — unusually red alone (8),oleander,placeholder,Anagram,anagram of (unusually) RED ALONE.,anagram
97,Paraffin oil’s odd treatment for sore knee (8),kerosene,placeholder,Anagram,anagram of (odd treatment for) SORE KNEES.,anagram
98,Rue eroticism that’s deviant and only superficially attractive (12),meretricious,placeholder,Anagram,anagram of (that's deviant) RUE EROTICISM.,anagram
99,Bony eel takes cooking (8),skeletal,placeholder,Anagram,anagram of (cooking) EEL TAKES.,anagram
100,"New throne for queen, perhaps (6)",hornet,placeholder,Anagram," *(THRONE) with ""new"" signposting the anagram.  The female hornet is a queen: did not know this, but seemed eminently plausible on the basis of a queen bee so in it went…",anagram
101,Fruity buns turn scorched on the outside? (8),sunburnt,placeholder,Anagram,"*(BUNS TURN) with ""fruity"" signalling the anagram",anagram
102,"I rent, poor and lazy (5)",inert,placeholder,Anagram,Anagram [poor] of I rent. As in lazy as a motionless couch potato.,anagram
103,US president plying heroes with wine (10),eisenhower,placeholder,Anagram, anagram (plying) of HEROES with WINE,anagram
104,Frank having credit renewed (6),direct,placeholder,Anagram,anagram (renewed) of CREDIT,anagram
105,"Out of order, nameless traders (8)",salesmen,placeholder,Anagram,anagram (out of order) of NAMELESS,anagram
106,Sang with partner? Awful deed: tut! (7),duetted,placeholder,Anagram,"*(DEED TUT) with ""awful"" pointing to the anagram",anagram
107,Sibling ignoring the second disturbance (6),bother,placeholder,Assemblage,Ignore the second letter in “brother” (sibling) to get “bother”,assemblage
108,I'm taken aback by anger? That's an illusion (6),mirage,placeholder,Assemblage,"MIRAGE - reversal (taken aback) of I'M, + RAGE (anger)",assemblage
109,"Leave on Christmas morning, possibly with papa (6)",decamp,placeholder,Assemblage,DECAMP - DEC AM P (code word for the letter P),assemblage
110,Magic transport needs fourth of combustion chambers to run like clockwork (10),broomstick,placeholder,Assemblage,"Combine “b” for “fourth of combustion”, “rooms” for “chambers” and “tick” for “to run like clockwork”",assemblage
111,Refuse a black mark (7),abstain,placeholder,Assemblage,Combine “a” and “b” for black and “stain” - synonym for “mark”,assemblage
112,It may get endless representation (5),image,placeholder,Assemblage,“endless” means take everything except last letters of “it may get”,double definition
113,Chap gets older but copes (7),manages,placeholder,Assemblage,Combine “man” for “chap” and “ages” for “gets older”,assemblage
114,Sound beginning when hummingbird is rapidly returning (5),whirr,placeholder,Assemblage,“beginning” means take the first letters in “when hummingbird is rapidly returning”,assemblage
115,"Begin to understand material one doesn't finish (6,2)",cotton on,placeholder,Assemblage,"COTTON ON - COTTON (material) + ON{e} (one doesn't finish, i.e. ""one"" without its last letter)",assemblage
116,Initiation that's suitable is in British Museum (7),baptism,placeholder,Assemblage,"BAPTISM - APT (suitable) + IS, all inside BM (British Museum)",container
117,Family member doesn't start to let loose (5),untie,placeholder,Assemblage,"UNTIE - {A}UNTIE (Family member doesn't start, i.e. ""Auntie"" without its initial letter)",assemblage
118,Extremely desirable drug store (5),depot,placeholder,Assemblage,"DEPOT - D{esirabl}E (Extremely desirable, i.e. the first and last letters of ""desirable"") + POT (drug)",assemblage
119,"Lights finally low, central heating on, kiss and cuddle (6)",smooch,placeholder,Assemblage,SMOOCH - {light}S + MOO + C.H.,assemblage
120,Burned remains after emptying secret store (5),stash,placeholder,Assemblage,STASH - ASH [burned remains] after S{ecre}T,assemblage
121,"Smile, darling, although missing a tooth (7)",grinder,placeholder,Assemblage,"GRINDER - GRIN, DE{a}R",assemblage
122,Saying little boy almost in shape for ice cream? (7),laconic,placeholder,Assemblage,LACONIC - LA{d} + CONIC [in shape for ice cream],assemblage
123,"Speak badly of drug, taken regularly in tiny amount (7)",traduce,placeholder,Assemblage,TRADUCE - D{r}U{g} in TRACE,anagram
124,"Palladium, introducing old character, cut back (6)",pruned,placeholder,Assemblage,"PRUNED - Pd ""introducing"" RUNE",assemblage
125,"A couple of lines crossing everywhere (3,4)",all over,placeholder,Assemblage,ALL OVER - A + LL + OVER,assemblage
126,Check a Buddhist at regular intervals (5),audit,placeholder,Assemblage,"AUDIT - A [b}U[d]D[h]I[s]T, an amusing idea, with a team of accountants examining the books at the temple.",hidden word
127,Worker occasionally draws injured people (10),casualties,placeholder,Assemblage,"CASUALTIES - CASUAL + TIES, once again a brilliant surface that is hard to break down.",assemblage
128,Begin to deal with notice on deck (7),address,placeholder,Assemblage,"ADDRESS - AD + DRESS, in the sense of deck the halls.",assemblage
129,"Introduce American drug, ignoring blood group (5,2)",usher in,placeholder,Assemblage,USHER IN - US HER[o]IN.,assemblage
130,"No fewer than fifty each in a test (not English) (2,5)",at least,placeholder,Assemblage,"AT LEAST - AT(L EA)[e]ST, a rather elaborate clue for an obvious answer.",container
131,Financial supporter not available to back hairdressing product (5),angel,placeholder,Assemblage,"ANGEL - NA (not available) reversed [back], GEL (hairdressing product). I first came across this type of angel as backers who invest in theatrical productions, but it can also be used for other kinds of enterprise.",assemblage
132,"School prize went to son, finally (4)",eton,placeholder,Assemblage,"ETON - {priz}E, {wen}T. {t}O, {so}N [finally]",hidden word
133,Arab friend — European gets one for nothing (11),palestinian,placeholder,Assemblage,PALESTINIAN - PAL (friend) + ESTONIAN (European) with I instead of O,assemblage
134,Hoofed mammal in Kansas occasionally (3),ass,placeholder,Assemblage,ASS - every other letter from (occasionally) kAnSaS.,hidden word
135,Rescue dog losing tail (8),retrieve,placeholder,Assemblage,RETRIEVE - RETRIEVEr (dog) minus its last letter (losing tail).,assemblage
136,"Firm multiplied by showing work of Dickens (4,5)",hard times,placeholder,Assemblage,HARD TIMES - HARD (firm) + TIMES (multiplied by),assemblage
137,Put friend in the picture in a relaxed way (10),informally,placeholder,Assemblage,INFORMALLY - INFORM ALLY,assemblage
138,A silencing word remains (3),ash,placeholder,Assemblage,"A, then SH.",assemblage
139," Very harmful to take out city on Atlantic coast, American (11)",deleterious,placeholder,Assemblage,DELETE RIO US [take out | city on Atlantic coast | American],assemblage
140,"Steep drop in price amended, then restated without right (9)",precipice,placeholder,Assemblage,"(PRICE*) [""amended""] + P{r}ICE [price again, this time minus R for right]",anagram
141,A story with beginning repeated is easily approached (7),affable,placeholder,Assemblage,"A F-FABLE [a | story, with (its first letter) repeated]",assemblage
142,"Boy with it turns, following effect of the moon? (5)",tidal,placeholder,Assemblage," LAD [boy] with IT, all reversed",assemblage
143,I very much refuse to consider weather indicator (6),isobar,placeholder,Assemblage,I SO BAR [I | very much | refuse to consider],assemblage
144,Despairing poet moving end of verse to earlier position (5),bleak,placeholder,Assemblage,BLAKE [poet] moving {vers}E up a couple of letters,anagram
145,"Server misses one playing pool game (5,4)",water polo,placeholder,Assemblage,"WA[i]TER + anagram of POOL.   I biffed, and did not even realize 'pool' was not part of the definition - which it easily could be",assemblage
146,Former heads of our legal department (3),old,placeholder,Assemblage,First letters of (heads of) Our Legal Department,assemblage
147,"Loco caught by travelling icon, always on the move (7)",nomadic,placeholder,Container,NOMADIC - MAD in ICON*,container
148,Everyone in short dash for US city (6),dallas,placeholder,Container,Put “all” for “everyone” inside “das” for “short dash”,container
149,European power limited by genuine revocation (6),repeal,placeholder,Container,Insert “EP” for “European power” into “real” for “genuine”,container
150,"Cursed, being literally last in bed (7)",blasted,placeholder,Container,Put “last” inside “bed”,container
151,Trap surrounded by enchantment is irresistible (8),magnetic,placeholder,Container,Put “net” for “trap” inside “magic” for “enchantment”,container
152,Standard offer of a choice of ends for Nottingham (8),norm,placeholder,Container,Put “or” for “choice” between the ends of “nottingham” - “n” and “m”,assemblage
153,Province in actual centre of Germany (5),realm,placeholder,Container,"REALM - REAL (actual) + {Ger}M{any} (centre of Germany, i.e. the middle letter of ""Germany"")",assemblage
154,Youngster swallows large part of tooth (4),pulp,placeholder,Container,PULP - PUP swallows L,container
155, Router sends digger round Bath (10),dispatcher,placeholder,Container,DISPATCHER - DITCHER round SPA,container
156,In airport goddess replaces old Christian (8),lutheran,placeholder,Container,"LUTHERAN -  LUT{-o,+HERA]N.   A brtilliant clue, where a whole word is substituted for a letter.",anagram
157,Stop outside or go (6),resort,placeholder,Container,"RESORT - RES(OR)T, as a verb.",container
158,Strong feeling about large person fastening flies? (6),angler,placeholder,Container,"ANGLER - ANG(L)ER.   An angler, however, does not necessarily tie his own flies, althought it is traditional to do so.",container
159,"Reveal temperature in Spanish city (3,2)",let on,placeholder,Container,LET ON - T (temperature) contained by [in]  LEÓN (Spanish city). ,container
160,Again plan harvest around first of May (5),remap,placeholder,Container,REMAP - REAP (harvest) containing [around] M{ay} [first],container
161,Unmarried man excited Chloe in pub (8),bachelor,placeholder,Container,BACHELOR - Anagram [excited] of CHLOE contained by [in] BAR (pub),anagram
162,Rock walls enable repression (10),swallowing,placeholder,Container,"SWALLOWING - SW(ALLOW)ING. If you swallow emotions, for instance, you repress them.",container
163,Like part of viewer’s money invested in Madrid team (7),retinal,placeholder,Container,RETINAL - RE(TIN)AL.,container
164,Hat that’s extremely comfortable crossing northern lake (6),cloche,placeholder,Container,"CLOCHE - C(LOCH)E, where the enclosing letters come from C[omfortabl]E.",container
165,"Praise silent type, advancing initially into battle (11)",acclamation,placeholder,Container,"ACCLAMATION - CLAM (silent type) + A (advancing initally), in ACTION (battle)",container
166,Useless worker endlessly about to finish cell extension (7),dendron,placeholder,Container,"DENDRON - DRON{e} (Useless worker endlessly) around END (to finish), to give (Chambers): ""A branching projection of a nerve cell"". Not a word I knew but it seemed believable as I knew of other dendr- words.",assemblage
167,Fish holding short stick in biannual event (8),solstice,placeholder,Container,SOLSTICE - SOLE (fish) containing (holding) all-but-the-last letter of (short) STICk.,container
168,"Sprinter, perhaps, allowed in running heat (7)",athlete,placeholder,Container,ATHLETE - LET (allowed) inside an anagram of (running) HEAT.,anagram
169,Proudly claim vessel carries spades (5),boast,placeholder,Container,BOAST - BOAT (vessel) 'carries' an S (spades in bridge notation),container
170,Certain about Chile’s capital being somewhere in the Andes (5),sucre,placeholder,Container,"SUCRE – SURE = certain, around C(hile)",container
171,Trinity right within you (5),three,placeholder,Container,THREE: R in THEE.,container
172,Dairy product a girl takes in bed (7),ricotta,placeholder,Container,"RICOTTA - COT in RITA (random, typically uneducated, woman)",anagram
173,Deep thought: odd state to beset one (10),rumination,placeholder,Container,"RUM NATION, around I for one.",assemblage
174,"Monkey lives around borders of Kenya, to the west (4)",saki,placeholder,Container," IS around K{eny}A, all written right to left. I didn’t know the monkey, but I did know there was a humourist who called himself SAKI, so I could guess where the name came from.",container
