Index,Clue,Solution,Spaced_Solution
114073,Times editor's removed,erased,erased
123347,Drink picked up for Darius?,mede,mede
114559,Telescopes of universities partially looking up for them,ufos,ufos
110868,One arranges to get setting up of bank under way?,styler,styler
11328,Bird's mate approaching ducks,cockatoo,cockatoo
47840,"""Morning"" from Grieg: ten pieces",greeting,greeting
30096,"Penned by Delany, Longfellow's material",nylon,nylon
25898,Monk doesn't start tackling piano like Thomas,sceptic,sceptic
104836,"Pancake gives sprite with no ""go"" independence",blini,blini
20851,"Undesirable neckwear having a bad result around club, right?",albatross,albatross
103775,Withdrawal of drawing following note,retraction,retraction
85526,Mineral lacks torrent?,rocksalt,rock salt
141174,Share memory about old pots here,poolroom,poolroom
53690,It's bad luck if you prefer Brie,hardcheese,hard cheese
62523,Note: see about part of speech I'm withdrawing,semibreve,semibreve
3429,What at Versailles left Queen grand honour,ennoble,ennoble
85497,Bit of dampness seeping up in the house,dwelling,dwelling
5845,Faze host and cast,throw,throw
123048,Crossword fan put off taking on Times,dexter,dexter
112204,"Father's musician, mother's poet - spin off is pig nicker",tomthepipersson,tom the pipers son
21393,"Beef to turn out deficient, not having much seasoning",complain,complain
61042,Launch a steamship that's partly corrupt,unchaste,unchaste
44672,Monty was killed by Apollo,python,python
76482,Retired coppers in conversation,exchange,exchange
50788,Drink among New York's flowers,manhattan,manhattan
97966,Croatian boxers reportedly bringing carp,splithairs,split hairs
58657,Blocks the rowers' seats,thwarts,thwarts
68526,This type finds it hard to swallow anything not solid,sceptical,sceptical
92774,Dove very softly into a quiet river,appeaser,appeaser
31847,Day trip? Quite the contrary,nightfall,nightfall
125935,Chance meeting of priest and criminal after murder almost backfired,likelihood,likelihood
16422,Caller providing a solution,ringer,ringer
112890,Outlaw put a strain on Irish town,bantry,bantry
129640,Magical image of Victorian parlour entertainment,lanternslide,lantern slide
101625,"Year spoilt by ""Les liaisons dangereuses"", say?",epistolarynovel,epistolary novel
15627,When he was fated to die horribly: Julius' finale,ides,ides
95796,Flinch from game,quail,quail
118780,Shoot a bird,snipe,snipe
21321,The Pony Express's first new recruit,neophyte,neophyte
48751,Expenses for excursions catching game,outgoings,outgoings
80663,Fiddle with glass covering hotel - you can see through it,cellophane,cellophane
17293,Nerves of steel? I think not!,nofear,no fear
3451,Speaking of new patent type of bomb,nuclear,nuclear
68788,"Time taken by one who composed, conducted and toured",travelled,travelled
116444,Derivative piece - no more massaging of the news!,spinoff,spin off
659,Well-equipped place to ring a relative,oasis,oasis
36319,Crazy commander's way of travelling round large island,madagascar,madagascar
74146,"Inaccurate shooting, but it can spread destruction",wildfire,wildfire
130254,Pushchair occupant full of germs?,babybuggy,baby buggy
67424,"The builder, decapitated by Louis VI, pathetically unaware",oblivious,oblivious
86738,Ignore letters and leave the office,abandononespost,abandon ones post
8561,Dispenser of Dutch courage (nerve of sorts),optic,optic
57094,Soldier in action has to double up,crease,crease
75728,Film starting before the last one?,prequel,prequel
88337,Ancient kingdom's newsagents?,media,media
6014,Friend at morn exercising in the usual way,normally,normally
60326,Publican with no end of trade,barter,barter
137343,Way to stop issue of May's leadership dogging Tory Party,condom,condom
95463,Guarantee a number will get over an indication of pain,vouch,vouch
63456,Twelve dozen is just too much!,gross,gross
140528,Lingering impression it's time Farage is off,afterimage,after image
115605,Name state with retro look,maria,maria
68663,Island where paths sound,rhodes,rhodes
80208,Still one unresolved Himalayan myth,yeti,yeti
132737,Beaten Kendo buff made a hurried departure,bunkedoff,bunked off
19815,Toiler disposed to belie his nature,loiter,loiter
61847,With dread as we get in a vehicle,awestruck,awestruck
78889,People were once transported by this sad love saga in retreat of French,velocipede,velocipede
82933,It holds wine for a service in church,carafe,carafe
70932,May I not revel playing a form of bridge?,cantilever,cantilever
16095,Quip about animal eating companion in farmyard?,epigram,epigram
126580,Offers for nursing staff?,tenders,tenders
120137,Hair-raising action by the brave,scalping,scalping
126344,Suffocatingly sexy?,sultry,sultry
24712,"Unit of luminance, centre light seen in extremes of light",lambert,lambert
29156,Band call,ring,ring
46643,"Occur, maybe, in Yorkshire",happen,happen
119903,"Pretty little individual wearing underwear, hot",smallish,smallish
104548,"Head getting European support for runner, maybe",beanpole,beanpole
18822,"Eat seconds with squad, carrying last of dinner towards the mouth?",downstream,downstream
122235,"Eternal right taken up, a sensitive thing",nerveending,nerve ending
46592,Studying sound of spring?,doing,doing
17805,But Continental hit contains Tibetan religion!,lamaism,lamaism
81670,Setter's relative energy encompasses student on first row,imbroglio,imbroglio
75773,Striking effect of exotic lace on hem of petticoat,eclat,eclat
134047,Criticises committee's forthright society,complains,complains
29188,Censure salesman over fish,reproach,reproach
132295,"Disappeared, as ET had done once",gonetoearth,gone to earth
10890,Exhibitionist is a conundrum,poser,poser
142162,"Went hunting like queen, perhaps, and thought about nothing",moused,moused
57925,Government stock in favour,grace,grace
64883,Remove judge from early contest,oust,oust
18771,Sound of river diversion in old Portuguese money,milreis,milreis
81917,Black and Blue?,band,band
61999,"Finishes off eclair, gateau, scones and rock cake",rusk,rusk
120727,"Nelson's ultimate ally, hot maid misbehaving?",ladyhamilton,lady hamilton
37816,"Escaping from the deluge, Noah reached port",genoa,genoa
48439,Good-looking lad with scar and sinus damaged,narcissus,narcissus
644,Boy and girl formerly out of love,clarence,clarence
74571,The Sun will do this to newspaper numbers here?,yellowpages,yellow pages
52920,Cloud cover near Stroud!,shroud,shroud
132599,"Contemptuously dismiss our flu, caught too badly",laughoutofcourt,laugh out of court
76137,"Peers slow to reform, lacking teeth",powerless,powerless
107446,Was inadequate as an air gunner - fell short as a pilot,undershot,undershot
136988,Revealing old copy of vinyl record,expressing,expressing
107731,"Red Book's dosh distributed, when dividing swag",bloodshot,bloodshot
61073,One keeping one's place ...,occupier,occupier
23623,Charm one's way in,entrance,entrance
98514,Hint of silly antics full of evil,scintilla,scintilla
139453,"Tho' Marconi designed the first modern time machine, this …",atomichron,atomichron
6151,Undirected commercial break,adrift,adrift
133416,Pleasurable tying up to bed,futon,futon
88888,Figure from distinguished order getting brush-off outside,rhombus,rhombus
46495,Game captain takes control here,bridge,bridge
109625,"Church leader goes from soft to loud, if not disturbed in between",pontiff,pontiff
34535,Leading light promoting prison life?,beacon,beacon
37027,The beast overturning everything to a certain degree,llama,llama
89884,Effectively copes with sporting events,meets,meets
82564,Plucky lyrist's first to join an Asian ensemble,gamelan,gamelan
106002,Pause during race to turn top on damaged post,pitstop,pit stop
64313,"Besotted with acting, claims a bit of talent",doting,doting
105005,Fashionable pen in outline,instyle,in style
35736,Brave soldier shunned amid shout of encouragement for knight,chevalier,chevalier
12995,Meaty writer in modern art,bacon,bacon
115394,"In which Armstrong inspired, opening hearts, perhaps",spacesuit,spacesuit
100894,They cover pots up,cowls,cowls
76233,The man's eating a horse said to be from a sheep,haggis,haggis
52252,Colour round head of Davy Jones,indigo,indigo
64779,Unfairness in the value of shares,inequity,inequity
98783,Deliberate way to enter the financial market,speculate,speculate
102189,Double-cross with an explosive question?,crossexamine,cross examine
81594,Jettison a mouldy cargo,offload,off load
31022,"Namely, a hollow red mask",vizard,vizard
130045,Works with potential spouse,opuses,opuses
100168,Go away with source of smelly stuff,scram,scram
72069,"Prevaricate, argue, quarrel - it's such a little thing",hedgesparrow,hedge sparrow
59501,Festival permits touring stately home,allhallows,all hallows
14985,"Overture, one of several, alone or in concert",leonora,leonora
141315,Barman tours clubs with a European bunch of boozers,bacchae,bacchae
24072,They say Hope is all tied up,trussed,trussed
26621,Having all-round defence in depth?,moated,moated
79705,Teacher's hot - cools off by moving stream,schoolmaster,schoolmaster
111744,Sentiment engulfs male so lacking perception,insentient,insentient
130294,"All shook up, a land in California?",lala,la la
25326,Sensual Lana Turner embracing single male,animal,animal
64707,Once more in range earlier,again,again
96650,"Having no money, family is thrown in street",skint,skint
93229,Engineer put in boiler with mount,horeb,horeb
45491,University shown up in left-wing broadcast,relayed,relayed
84471,Confesses one has escaped from Maidstone somehow,admits,admits
78493,Religious leader's state day included in greeting,mahdi,mahdi
13741,"It's thick, so put on top",solid,solid
81920,Group not allowed on the radio,band,band
118952,Forward individuals shun ban on sex as appropriate,annex,annex
47056,"President, embracing conflict, put in post again?",forward,forward
84755,Aim when holy and delicate for a key change,grail,grail
58754,Academic given crucial post finds it mere drudgery,donkeywork,donkey work
64944,Goodness! Shame drug's injected,piety,piety
67423,Having a palpable exterior left one unconscious,oblivious,oblivious
141110,Indiscretion needs a course of action in the shipyard,slipway,slipway
132489,"Muslim ruler who's unwise, did you say, to get fast food item?",thickshake,thickshake
66109,"Salad, shall we say?",lettuce,lettuce
140970,Defenders sometimes put obstructions across street,barristers,barristers
7959,It's in our blood,plasma,plasma
124103,Bimbo who can't speak one fair?,dumbblonde,dumb blonde
8960,Adjourned for some wine,rose,rose
88380,Food provided on occasion by union organisers?,weddingcake,wedding cake
131394,"Banker close to golfer, one getting green fee on the house?",rivertrent,river trent
80657,Needing support in business,infirm,infirm
83713,Nick run down on vacation,knockoff,knock off
31409,Nurseryman's guarded forecast about hawthorn?,mayflower,mayflower
73078,Position made for top-liner?,headship,headship
77655,"One makes atmosphere, charged with excitement, noisier!",ioniser,ioniser
50090,Openers for Caribbean islands,keys,keys
102553,Woman with recipe with health food plants,evergreens,evergreens
9750,Don't bother about holidays,leave,leave
13402,Every day reports a bloomer,dahlia,dahlia
133239,Inclined to blow one's top?,volcanic,volcanic
134449,Is pushing spades through leaves,exists,exists
120361,Get together when graduate finals are often held?,intermix,intermix
139938,Month (Feb) starts off with everyone alert,ontheball,on the ball
86739,"Forsake your responsibilities, leaving letters unanswered?",abandononespost,abandon ones post
100253,Sympathised with one sort of public house under pressure,pitied,pitied
116289,They share secrets with us as Bill hides the mail,gateposts,gateposts
47225,"Upset, I hurt my child's romance",liaison,liaison
20136,Ruler found in throne room,nero,nero
87403,Sheepishly talk with senior having invaded Iraqi city,basra,basra
38279,"Spell out ""Hindhead"" in Dorset",charmouth,charmouth
140555,"Answer to waterworks problem? I'd cure it, possibly",diuretic,diuretic
114101,Lord eats odd bits of cake - not a hearty eater?,pecker,pecker
114666,"Gesture of acknowledgement about new slipper, not for slipping on",nonskid,non skid
135297,"Interrupting schedule, copper's heading off campaigner",lobbyist,lobbyist
27480,The cleaner has put a chap off,detergent,detergent
93726,"Author Thomas, queen, is overcoming male idiosyncrasy",mannerism,mannerism
15110,"Speak quietly, but possibly from the heart",murmur,murmur
12024,Excessive devotion responsible for an attempt on revered figure,idolatry,idolatry
12692,They keep the hose straight,suspenders,suspenders
58575,Students keep a little storage in the cloud,nimbus,nimbus
135576,"Men talk, twitching, of sexual pleasure",orgastic,orgastic
140749,"Snack, not bad, fed to dogs",potnoodles,pot noodles
53663,French language for British school,breton,breton
130378,Peter's scrambled round to the highest branches,treetops,treetops
1202,Provide Esctasy and crack,equip,equip
51000,"Skedaddle, as one might hope to do at Lord's?",cutandrun,cut and run
34346,Do some asset-stripping to run church,fleece,fleece
33659,Maverick red steer's a runaway,deserter,deserter
3337,"Having lost perp stupidly, poor copper's been blue",obscene,obscene
138271,Avoids working with society rejects,disavows,disavows
80204,"Embellished, transparent feature of rude words one passed round the Caribbean?",rosewindow,rose window
16604,Vehicle to move before take-off,taxi,taxi
11389,Tool increases sound,adze,adze
111399,"Distraught, he can't hope to get off lightly",onthecheap,on the cheap
116311,"Clues designed to break Labour, unfortunately",worseluck,worse luck
111064,'Professor' Stanley backing Italian islander that one is bound to lose,unwinnable,unwinnable
88983,A method for dealing with traffic?,oneway,one way
34223,Fixes for son to get a small promotion? Damn!,curse,curse
44994,Course of events?,racetrack,racetrack
131631,Moon was one day on right: no sun in season,drummer,drummer
113479,Artist enclosed land in borders of Surrey,sisley,sisley
6404,A con man?,opponent,opponent
19707,Doing nothing - taking some unpaid leave,idle,idle
81148,Resentment at card game not finishing,pique,pique
70534,"Building uninsured, if I cease to provide cover",edifice,edifice
125071,Scared to charge a pound for eggs,chickenrun,chicken run
26565,Form master to assign pupils to a certain class,stream,stream
35195,Give up playing chess,resign,resign
36728,Cockney optimist had to work,operate,operate
7242,Workers on a Scottish island,staffa,staffa
48654,Article in house or pod,vanilla,vanilla
26707,An apple taken off a tree,eater,eater
2783,Fish in drink causes upset,shakeup,shake up
65255,Type of service is shortly to be prepared for war,underarms,under arms
55045,Piece to hand over to uncle,pawn,pawn
38556,The lowest sort of people but always found at the top,scum,scum
48696,"Pain cutting ear, then doctor back",lumbago,lumbago
127341,"Small cafe, revolutionary, getting on in crescent",luncheonette,luncheonette
83753,Ship's store close to empty,argosy,argosy
124392,Become completely satisfied when stallion fee is adjusted,eatonesfill,eat ones fill
59814,King repelled charge on the rocks,reef,reef
93721,"Confirmed nickname for Edward, the ocean sailor?",deepseated,deep seated
19141,Split of Tory and Socialist,cleft,cleft
134555,"Make unwelcome appearance hurriedly, as gatecrashing",rearitsuglyhead,rear its ugly head
45230,Pleaded to hold Commanding Officer up over quality of corn foodstuff,processedcheese,processed cheese
76469,"Card game, no limit",jack,jack
29361,Start to moderate a kind of free-for-all,openseason,open season
108324,Tory-loving adversary,contender,contender
101745,Old gardener saves sodium to apply endlessly,adnauseam,ad nauseam
64916,"Fred led me, that is understood, into PEPs",gingerrogers,ginger rogers
96943,Belief in supporting a foreigner could be said to be wild behaviour,bacchanalianism,bacchanalianism
13867,Wasting of a prize,atrophy,atrophy
88492,"UK citizen stands by Labour leader boxed in by Trotskyite extremes, likely to snap",brittle,brittle
62140,Useful expression for one raising a child,upsadaisy,ups a daisy
6767,One obliged to tipple gin in plenty,abounding,abounding
94372,Openings for a rich man,gates,gates
37450,Support could be distributed in hours,nourish,nourish
52382,Rash to dip me in ice stupidly,epidemic,epidemic
101179,"Side with niece, furious about resistance to part of divorce proceedings",decreenisi,decree nisi
61343,An empty new settlement,payment,payment
45236,"Take a punt on this lake, with yen to catch aquatic creature",lottery,lottery
2630,Time an offender may be held as such …,inmate,inmate
72205,"Appointed as agent, as expressed in legal document",deputed,deputed
36628,"In fall, southern leaves blue",indecent,indecent
13087,New article needs sharp material,nankeen,nankeen
30327,Look up song that's true,loyal,loyal
18649,"Going topless, complain there'll be swinging around here",hinge,hinge
122879,Type showing impudent effrontery,boldface,boldface
56242,Tenor disheartened in melody fit to be forte,strongsuit,strong suit
132092,Hitch in vehicle heading north in part of city,suburb,suburb
73845,"He's bad either way, right?",evilliver,evil liver
13283,"As a rule, it lacks civility",martiallaw,martial law
36693,"Artwork made in two seconds by da Vinci, ignoring the odds",mosaic,mosaic
19138,Conservative-Labour rift,cleft,cleft
109078,Not believing the man is in Greek mode,atheistic,atheistic
86726,It's alert when tripped,alarmbell,alarm bell
107982,Number of pills required by queasy sea dog,dosage,dosage
15613,Cloth covering unacceptable stew,ragout,ragout
24933,It's reported to stimulate comprehension,insight,insight
127759,"Staging of Dynasty, including unstarted election process",mounting,mounting
101790,Gemstone returned to dreadful party leader,peridot,peridot
87898,Stolen? Pay quickly,hotfoot,hotfoot
34796,Weapon in a manner of speaking not what's expected,lance,lance
137421,Indian cigarette is close to the end,beedie,beedie
138689,"Crack up back of gluteal area, you disgust me!",laugh,laugh
13711,Take vain steps to provide support,strut,strut
130815,Sing and act? Resulting in selection,casting,casting
80070,A sailing man in some irritation getting under way,starting,starting
24139,Order a small piece to move up to capture a knight,diktat,diktat
33998,"Island is in her itinerary, not entirely cut off",disinherit,disinherit
19620,Young Italian graduate doctor in love,bambino,bambino
73132,To jeer about prompting is conventional,bourgeois,bourgeois
86788,Like Iceland? It's gone bust,identical,identical
46188,A Frenchman one day made a fresh start,renewed,renewed
34866,Tenant with smaller quantity of drugs,lessee,lessee
31390,Instructions to turn the clock back,remit,remit
9812,Clan or society for English training,sept,sept
107712,Nasser ordered imprisonment of a hundred Arabs,saracens,saracens
5401,"Be amorous, giving ring with love in romantic light?",canoodle,canoodle
135085,"Walter, a handyman?",mitty,mitty
89986,Prevent from crossing over marsh,forfend,forfend
137388,Somewhat nondescript old PM and his bats,greyish,greyish
21917,I would look up to one that's worshipped,idol,idol
63009,Over one after another in care,atanend,at an end
105031,Be the manager in charge of ancient characters,runic,runic
40948,Tree sharing name with primate,rowan,rowan
54387,Start of play,firstnight,first night
77019,Firm supporting dodgy trade in style between the wars,artdeco,art deco
25305,Describing insects with wings of short span,ephemeral,ephemeral
74096,For crossing palm with olive in Senior Common Room?,silvercoin,silver coin
98201,"Content to leave dirty, horrid old soap",dynasty,dynasty
63626,Amazing deal Ben facilitated,enabled,enabled
103518,Relish being cool in shanty,seasoning,seasoning
43321,Drink's a feature of the seminar,teachin,teach in
139294,"Could be a rise - ta, God … or words to that effect",deogratias,deo gratias
53985,Nice doctor shortly produced a pharmacological essence,decoction,decoction
29926,Great to pass one day swigging litres,splendid,splendid
139889,In which items to be sent do better in a ring?,outbox,out box
89498,Mule managed to get cat out of pipe,calumet,calumet
125345,Late payments?,deathduties,death duties
63542,Money in Ireland terribly short over here,lancashire,lancashire
52738,Cook a sort of dish,roast,roast
73833,Doctor the water to find a lizard,moloch,moloch
31685,Girl that endlessly collects wood,thelma,thelma
11533,Guys accepting help from girl,maiden,maiden
118532,"Silent brothers, very quiet in dire straits",trappists,trappists
44422,Don't do it to the first two on the mark,abstain,abstain
73433,"Unlimited healthy activity with little muscular movements in running, etc",athletics,athletics
60786,Do this and there may be the devil to pay,sellonessoul,sell ones soul
102818,Personal assistant lying about fuel,propane,propane
70215,"Public showing of Blake's final version of ""Windows with Duck""",expo,expo
23678,"Hamlet, for example, wavering and ultimately indecisive",dane,dane
90018,Crumbling path rated highly unsafe,deathtrap,deathtrap
126024,Everything depends on band member harbouring female outlaw,thewholeshebang,the whole shebang
43528,In the end smoking grass produces strong desire,greed,greed
44231,Stones gathered at bottom of cliff before new show,screen,screen
102016,Gallery finds finales welcome surprises,godsends,godsends
119690,"Output from quite useless boiler? Sense perverse, slow-witted quality",obtuseness,obtuseness
133090,Strong instrumental passages (Making Movies),flicks,flicks
71239,Abraham's birthplace has to proscribe municipal status,urban,urban
3713,Moral tale has the bloody lot on ecstasy,allegory,allegory
60429,Written references?,lettersofcredit,letters of credit
79113,"Man-eater, a little bit upset - he's on an old ship",whiteshark,white shark
27457,"Fix position - which is north - and turn around, making a tiny adjustment",orientate,orientate
47166,A number of mysterious utterances on boats,coracles,coracles
133199,Israeli wanting Arabs out,sabra,sabra
2826,Sudden exit from the airport?,flight,flight
75250,Classical scene of Apollo topping brothers,delphi,delphi
29849,Reserved yet finding love good in bed!,booked,booked
3804,"A lot of liquid drunk, with beams all round!",floodlit,floodlit
6177,State capital's second terminus erected within a couple of years,sydney,sydney
52148,It's naturally placed among Latin phrases,insitu,in situ
88616,Animals said to be put to some purpose,ewes,ewes
116462,Uncle Arthur's day off? It isn't apparent,unclear,unclear
111687,Gave a quiet admonition,hushed,hushed
45212,Men of more than noble birth,royal,royal
129971,United said to be finished a while ago,welded,welded
57721,Risk coming by river,adventure,adventure
46544,Meal not starting to satisfy this man,inner,inner
48038,Turning and spinning around from one giddy extreme to the other,gyratory,gyratory
140291,"He sold material, part of scripts, writing in and changing each",linendraper,linen draper
140873,Engineer got a part for car's roof,targatop,targa top
54989,Meets bewildered males with Bess,assembles,assembles
120764,"Warm, holding temperature? That's natural",congenital,congenital
63836,Evidence of confinement with hard labour,stretchmarks,stretch marks
53924,High class umpire's decision,ruling,ruling
30251,Mischievous lifestyle in flasher's garb?,malefic,malefic
91271,Side of Munich always invested in capital,bayern,bayern
23796,Republicans getting counter-intelligence from Baghdad?,iraqi,iraqi
58652,Old US president has a dance,polka,polka
127206,Love in jail's queer after lover's drink,beaujolais,beaujolais
72837,Soldier arising in a halo of stars,auriga,auriga
63373,A fish (the ray) eating its own head,bream,bream
35940,"Pop, but classical",pater,pater
113326,James takes one on the beach,bondi,bondi
85196,"Articles above Leo, seen opposite the sun",anthelion,anthelion
16635,Decrease in work by a GP,drop,drop
57567,Rough one is carried by out-of-date transport,hoarse,hoarse
96994,Spicy singer a sweet one?,melba,melba
106798,Suppose fellow succeeds with a reshuffle?,whatif,what if
25142,Movement of state in support,pincer,pincer
13563,Exercise right to entertain?,train,train
113524,"Leaving outskirts, caused carnage driving this?",usedcar,used car
121271,"Malicious utterance damaging leaders, perhaps",mud,mud
27893,Said to have remained sober,staid,staid
13645,Group ring music-maker,cello,cello
50566,Series of steps looks hard to an audience,stairs,stairs
54372,Advance amount of money in account to missing company,lonesome,lonesome
121491,Foul reek - old and new sewers produce it,needlework,needlework
89058,They deny profit to crime writer,gainsayers,gainsayers
14085,Eg in atlas misplaced a part of Britain,eastanglia,east anglia
80271,Conviction that is for breaking into car,view,view
52561,Put a chit in for wine,chianti,chianti
84850,A recount is unusual for golfers,carnoustie,carnoustie
16591,Saving a little money - one father's aim,aspire,aspire
90661,Inconclusive assault on man with case,attache,attache
104177,"Taking more than one form and consisting of a pair of lines, circle and imaginary line",allotropic,allotropic
6569,Approach made quickly,runup,run up
22868,Ties last of livestock on board,kinship,kinship
109595,Conclusion of song by representative of awkward squad?,theresalwaysone,theres always one
69732,Lad about to take exam again is impervious,resistant,resistant
109389,Winding road ran between France and Spain,andorra,andorra
52297,Editor to finish in part of USA,amender,amender
93048,The cute CO collapsed into bed on the train,couchette,couchette
29892,True figure is in this region,realm,realm
64539,Current controller sorted out those probing traitor,rheostat,rheostat
3199,Lush crêpe put round burial place,sepulchre,sepulchre
72541,Doll given makeover that's lasting,longlived,long lived
62401,Short causing dead engine,needing,needing
38676,Unnamed duck could be anything at all,ought,ought
124132,How explorers are engaged with legal procedure,inquest,inquest
2609,It's unusual for the Queen's Trust to exclude the Church,rarity,rarity
19813,Hang around and see it turn up again,loiter,loiter
54572,Lift the lid on a politician for not getting things done,dilatory,dilatory
141445,"Checked what monarch did, abandoning grand home",reinedin,reined in
35459,"Countryman is game, giving up heroin",peasant,peasant
137707,"Look, with VAT rising, pop star trembled",butchershook,butchers hook
78215,"Fish to be taken with a rod, that's quite plain",pikestaff,pikestaff
85988,Broadcast in support of scandal involving dad,propagate,propagate
51361,Stout aunt's off to church,staunch,staunch
141680,Worked to gain experience under malign influence?,devilled,devilled
58930,Girl's without training that makes fit,adapts,adapts
19007,Nothing legitimate about duke's trial,ordeal,ordeal
83409,Support six feet with no head - ecstasy for the unadventurous,stayathome,stay at home
35499,Radical starts to drink red wine cold,drastic,drastic
89274,Sufferer from public transport going over unknown runs,martyr,martyr
137564,Sex appeal wearing kinky undies turned into a single piece,unitised,unitised
69291,Most suitable match for survivors?,fittest,fittest
115778,It holds the shooter's ammunition before shelling starts,peapod,pea pod
14961,Deity has two lives,isis,isis
12407,Lecher said to glow,lustre,lustre
19509,In Celtic practices Idris gets mud-spattered,druidism,druidism
64742,Showing up two hours before Cinderella's ragtime ball,attendance,attendance
97704,Drink coming in dribble at back of pub,booze,booze
55140,Solver's Scottish isle,lewis,lewis
41431,Opposing the monarch's entourage in battle,agincourt,agincourt
37701,One opens gold sweet,gateau,gateau
76339,Put up job,post,post
30174,A shade less well than usual,offcolour,off colour
126873,Member of oppressive regime thrashed a servant,tsarevna,tsarevna
136696,You finally quit cosmetic enhancement? That's a great blessing!,beatification,beatification
60984,Benighted Swede composed piano piece,thebeeswedding,the bees wedding
15240,Eg cases of fruit put on box for fruit,luggage,luggage
130678,Gunfire has journalist heading off repeatedly,ackack,ack ack
42657,When broken they could cause a stir,tarsi,tarsi
91201,Fusses over drink,soda,soda
10365,"May cut dissent, amidst cheers",theresa,theresa
134996,"Wee Tina, drunk, plunged into river",urinate,urinate
92072,Become detached in outlook with inferior surroundings,workloose,work loose
135335,"Member welcomed by literati once shifting between Yale and Harvard, say?",intercollegiate,intercollegiate
125274,Inadequacy of computer being set up is concerning,inre,in re
121979,Pension for all directors?,fullboard,full board
118408,"Requiring maximum amount of cash, honey",dearest,dearest
130423,"Father Christmas say, genuine, about to adopt the fourth strategy?",laplander,laplander
36695,Bill for publicity,poster,poster
69921,Humiliation in a lowly room,abasement,abasement
26647,Clergyman having fool in church is in a deep hole,crevasse,crevasse
70666,"Scales, for instance, somehow pulls near",prunella,prunella
140706,Try something to hold crop together and become crazy,gohaywire,go haywire
39485,"Scandal man's kept under hat, not causing much damage",dirtcheap,dirt cheap
127124,Patron saint of squirrel monkeys,elmo,elmo
3701,Cat with another injury,whiplash,whiplash
65273,"Rose, the British Queen",brier,brier
10137,No sweat with this dance,cakewalk,cakewalk
117492,Put a foot wrong and his job is to bail you out,wicketkeeper,wicketkeeper
80609,Old solvers (singular and plural) on big wheel,theeye,the eye
933,Sound like fruit?,plumb,plumb
400,Sound of a stable hinge breaking,neigh,neigh
135406,"Conservative, behind May's back, keeps fighting",reactionary,reactionary
13814,Deviser of legends could make my thirst run out,mythist,mythist
100833,Expression of fringe opinion,marginalcomment,marginal comment
127284,Krueger home detailed unusual killing regime,khmerrouge,khmer rouge
91460,Plod names unruly cell occupant,endoplasm,endoplasm
116459,"Spectacular ego, heart lost in the system",meteoric,meteoric
74559,Was a top-ranking police officer obnoxious?,rancid,rancid
99666,One liberating another snooker player's assistant shortly before snooker player?,rescuer,rescuer
20399,Country where a note is forged,estonia,estonia
26541,Pledge rascal a heartless victory,impawn,impawn
106808,Infernal pronouncement from the motherland?,damnation,damnation
136111,Port in American city banks interest,curiosity,curiosity
83671,Island needing con to be real?,crete,crete
78093,They join together in operations,stitches,stitches
84226,Stirs up rage in French city,angers,angers
23493,One may be charged with crime after needing a drink,drybattery,dry battery
51740,"They're lawless, a little grasping also at half-time",banditti,banditti
96204,It's designed to protect from harm etc,armet,armet
50024,"The devil's taken his seat at Northumbrian castle, they say",satanic,satanic
58722,Express one's views more loudly!,speakup,speak up
37451,Footwear and books getting covered with soup,gumboot,gumboot
23643,Grant immunity to parliamentarian taking refuge in city abandoned by monarch,exempt,exempt
47321,Police in rigged state trial that's crucial,acidtest,acid test
138951,"One idiot about to go around and disperse depleted uranium, say",actinide,actinide
16986,Old city in part of South Africa is unaffected,natural,natural
9898,Gone sinister,left,left
129866,"Waxes lyrical: ""incredible Zico"", initially turning Italy - a name supporters embrace",brazilians,brazilians
35349,Deer with short leg,stag,stag
70705,Bit of a mishap: Grand Canal emptied and burning,glitch,glitch
134551,"Theatre does plays, having taken rest",reposed,reposed
127524,"Tyres may be so aerated, having to go over a regular route",crossply,cross ply
69366,Does pie-cooking become an event?,episode,episode
129176,"Not straight, with future too unsettled",outoftrue,out of true
18924,"Delay, for example, saves time",stay,stay
62042,Vessel about to be broken up,uboat,u boat
42544,They scout about one side of Glasgow,rangers,rangers
61887,Start playing songs for concert,onset,onset
34240,"Star shaped, incorporating international feature of fluted column",stria,stria
52106,"Increased circulation without editor, which could be fatal",arsenic,arsenic
114960,Riveting work that could make servant spit,pageturner,page turner
47714,"Take me back, Master, and provide some relief",emboss,emboss
8965,Wine went up,rose,rose
111772,Pass after short distance under control,inhand,in hand
23026,Food and wine sent back for soup,chowder,chowder
47903,Constant refrain of man at party,rondo,rondo
104208,True about metal being of light-sensitive tissue,retinal,retinal
105367,"""Not many take Christmas"": a report by climber",funicular,funicular
107592,"Shorts pound, shocking her donees",lederhosen,lederhosen
109736,Folk artist who made use of tablets,moses,moses
126208,Boy on royal staff list?,erroll,erroll
128475,"Lacking leadership, sly fools, horribly good things?",oxymorons,oxymorons
91440,Their union offers security,lockandkey,lock and key
120586,Big wave producing harm in front of ship,billow,billow
84917,What I am when I have one over the eight?,asinine,asinine
140391,Punished American getting drugs out of back of German car,amerced,amerced
39700,Bird in the bull-ring,magpie,magpie
29116,Turmoil and ferment heard before laughter,brouhaha,brouhaha
66698,"Glance right, taking in strange choice",ricochet,ricochet
34573,Shade said to facilitate vehicular access,khaki,khaki
126164,Expression of desires - any number will fade away,facies,facies
29276,Thinker about love will nearly front the gallery,plato,plato
